user_id,top_game,genre,hours_played
76561197963078990,Undertale,RPG,48.1
76561198105224798,Palworld,Action / Adventure,647.5
76561198363195734,Counter-Strike 2,Shooter,2745.9
76561198023827795,Street Fighter™ 6,Hardcore Action,677.0
76561198069851124,Hunt: Showdown 1896,Action / Adventure,775.6
76561198205997439,Destiny 2,MMORPG,3245.9
76561198341212169,Super Sami Roll,Casual / Arcade,677.2
76561198433704467,Red Dead Online,Action / Adventure,476.3
76561198398309529,Counter-Strike 2,Shooter,1836.5
76561198051401693,The Elder Scrolls V: Skyrim,Action / Adventure,1195.5
76561198114639487,Monster Hunter: World,Action / Adventure,240.5
76561198381504090,Counter-Strike 2,Shooter,514.4
76561198156154120,Tom Clancy's Rainbow Six® Siege X,Shooter,1499.2
76561198052722721,Wallpaper Engine,Utility / Software,331.2
76561199465061016,Avatar: Frontiers of Pandora,Action / Adventure,25.6
76561198137677078,Counter-Strike 2,Shooter,2385.0
76561198014693391,Factorio,Simulation,729.4
76561198433983897,The Elder Scrolls Online,MMORPG,2919.1
76561198829949308,Garry's Mod,Shooter,954.9
76561199741793062,Inari,Action / Adventure,18.0
76561199185559011,Lucy Got Problems,Adult / NSFW,5.7
76561198985808011,Counter-Strike 2,Shooter,801.5
76561198966888336,Lossless Scaling,Utility / Software,442.7
76561198010141426,Dwarf Fortress,Simulation,604.6
76561199856523159,Projekt: Passion,Action / Adventure,7.3
76561198748268659,My Witch Wants Elixirs!,Action / Adventure,51.2
76561198322433335,Tom Clancy's Rainbow Six® Siege X,Shooter,746.1
76561198261489443,Terraria,Survival / Horror,2324.0
76561198126258450,Left 4 Dead 2,Survival / Horror,2315.7
76561199677105221,Counter-Strike 2,Shooter,123.0
76561197990076515,ELDEN RING,Hardcore Action,1032.1
76561198846940926,Counter-Strike 2,Shooter,287.6
76561197992745196,Total War: WARHAMMER II,Strategy & MOBA,720.0
76561198770998285,Grand Theft Auto V Enhanced,Action / Adventure,45.1
76561198268618628,Baldur's Gate 3,RPG,382.0
76561198302388621,Lost Ark,MMORPG,3964.2
76561199092656312,Hearts of Iron IV,Strategy & MOBA,1966.5
76561198132691037,The Witcher 3: Wild Hunt,Action / Adventure,485.7
76561198167199536,Rust,Survival / Horror,1241.2
76561197977407736,Team Fortress 2,Shooter,1538.3
76561198133992410,Dota 2,Strategy & MOBA,2649.0
76561198005145165,Dota 2,Strategy & MOBA,2436.5
76561198119929664,Love and Sex: Second Base,Action / Adventure,313.9
76561199371723699,Left 4 Dead 2,Survival / Horror,205.3
76561199287284324,Fear & Hunger,Action / Adventure,34.3
76561199054887587,Cyberpunk 2077,Action / Adventure,243.8
76561198051361825,Garry's Mod,Shooter,945.1
76561198096654557,Monster Hunter: World,Action / Adventure,1026.0
76561199166090162,7 Days to Die,Survival / Horror,522.6
76561198178615789,Cities: Skylines,Simulation,897.5
76561199073058695,Hades,Roguelike,100.7
76561198067323872,Baldur's Gate 3,RPG,297.5
76561198424341763,Soundpad,Utility / Software,10680.0
76561198091676205,Destiny 2,MMORPG,774.6
76561198158038408,OVR Toolkit,Utility / Software,2297.7
76561198283062162,Destiny 2,MMORPG,527.0
76561199059807861,Hearts of Iron IV,Strategy & MOBA,2440.1
76561198142773527,FINAL FANTASY XIV Online,MMORPG,739.4
76561198802171663,Wallpaper Engine,Utility / Software,20215.0
76561198207974952,REMATCH,Action / Adventure,154.0
76561198274528277,Fallout 4,Action / Adventure,338.8
76561198034058420,FINAL FANTASY XIV Online,MMORPG,13360.6
76561198435345534,Counter-Strike 2,Shooter,1705.7
76561198983149006,The Elder Scrolls V: Skyrim Special Edition,Action / Adventure,375.2
76561198096969296,Dota 2,Strategy & MOBA,1733.7
76561199234876954,Risk of Rain 2,Shooter,69.1
76561198304481651,Dead by Daylight,Survival / Horror,1865.5
76561198959859253,Tom Clancy's Rainbow Six® Siege X,Shooter,1106.5
76561198095598697,Grand Theft Auto V Legacy,Action / Adventure,413.1
76561198074737151,Elite Dangerous,Action / Adventure,1513.8
76561198992564060,Terraria,Survival / Horror,478.6
76561198092060319,Cyberpunk 2077,Action / Adventure,482.2
76561198847085070,Wallpaper Engine,Utility / Software,62.2
76561197984979767,Destiny 2,MMORPG,1702.3
