user_id,top_game,genre,hours_played
76561199789195570,ELDEN RING,Hardcore Action,77.0
76561199406790105,Counter-Strike 2,Shooter,230.0
76561198354049899,Divinity: Original Sin 2,RPG,157.1
76561199199441197,Counter-Strike 2,Shooter,615.2
76561198078740313,Counter-Strike 2,Shooter,2866.1
76561198156226691,The Elder Scrolls V: Skyrim Special Edition,Action / Adventure,233.7
76561197976814106,Dota 2,Strategy & MOBA,3733.9
76561199024201174,Wallpaper Engine,Utility / Software,670.9
76561199273619676,Counter-Strike 2,Shooter,384.8
76561198086113634,Call of Duty®,Shooter,1068.9
76561198147080431,Garry's Mod,Shooter,2118.9
76561199002705109,Team Fortress 2,Shooter,3874.1
76561199446559322,Tom Clancy's Rainbow Six® Siege X,Shooter,632.9
76561198747419873,Counter-Strike 2,Shooter,33.7
76561198412882056,Garry's Mod,Shooter,283.5
76561198984629928,Terraria,Survival / Horror,353.0
76561198047550389,Terraria,Survival / Horror,1020.9
76561199217242310,ELDEN RING NIGHTREIGN,Hardcore Action,325.9
76561199842250597,Hollow Knight: Silksong,Action / Adventure,143.8
76561199611675845,Garry's Mod,Shooter,294.7
76561197989485118,Dota 2,Strategy & MOBA,5212.2
76561198820956269,FOR HONOR,Hardcore Action,795.8
76561199101878009,Rust,Survival / Horror,6895.5
76561197960631905,Factorio,Simulation,892.6
76561198087897426,Battlefield™ 2042,Shooter,350.9
76561199780169699,The Elder Scrolls V: Skyrim Special Edition,Action / Adventure,120.3
76561199776570246,Counter-Strike 2,Shooter,87.7
76561197994594725,Counter-Strike 2,Shooter,1869.2
76561198985190375,Counter-Strike 2,Shooter,236.9
76561198424702821,Baldur's Gate 3,RPG,407.2
76561199051165335,Assetto Corsa,Sports & Racing,268.7
76561199121960715,Terraria,Survival / Horror,190.4
76561198322429544,Rocket League,Sports & Racing,1097.9
76561199559747305,Elite Dangerous,Action / Adventure,225.2
76561198088660115,Counter-Strike: Source,Shooter,536.1
76561198109666838,Garry's Mod,Shooter,914.8
76561198258413109,Elite Dangerous,Action / Adventure,943.1
76561198347623868,PUBG: BATTLEGROUNDS,Survival / Horror,785.8
76561199067746286,Terraria,Survival / Horror,138.8
76561198107655838,Warhammer: Vermintide 2,Hardcore Action,490.8
76561199657921966,Stardew Valley,Simulation,63.8
76561199501085248,Geometry Dash,Casual / Arcade,34.9
76561198180895083,Factorio,Simulation,1841.4
76561198966344597,Terraria,Survival / Horror,454.8
76561199475756174,Team Fortress 2,Shooter,362.9
76561198951857958,Terraria,Survival / Horror,734.4
76561199064025254,Hunt: Showdown 1896,Action / Adventure,419.9
76561199233115000,BeamNG.drive,Simulation,134.7
76561199516028293,Counter-Strike 2,Shooter,824.3
76561198029103866,Dota 2,Strategy & MOBA,3788.8
76561198278687771,Stardew Valley,Simulation,78.3
76561199415928114,Crosshair X,Utility / Software,1010.4
76561198748018892,Left 4 Dead 2,Survival / Horror,112.1
76561198096037109,Call of Duty: World at War,Survival / Horror,301.3
76561197991501681,Dota 2,Strategy & MOBA,6368.4
76561199229096487,Bloons TD 6,Strategy & MOBA,210.8
76561198193005151,Path of Exile 2,RPG,436.9
76561197984187172,Dota 2,Strategy & MOBA,1541.0
76561198067236836,FINAL FANTASY XIV Online,MMORPG,1081.8
76561199864923395,Counter-Strike 2,Shooter,65.2
76561199166032260,Team Fortress 2,Shooter,201.7
76561198119749558,Counter-Strike 2,Shooter,1919.9
76561198089518646,The Elder Scrolls V: Skyrim Special Edition,Action / Adventure,851.9
76561199571038023,Counter-Strike 2,Shooter,1157.0
76561198742365924,Counter-Strike 2,Shooter,50.7
76561198847453320,Stardew Valley,Simulation,37.0
76561199570589442,Counter-Strike 2,Shooter,161.5
76561198392278322,Among Us,Survival / Horror,28.4
76561198268180665,Phasmophobia,Survival / Horror,393.9
76561199609532201,Counter-Strike 2,Shooter,121.4
76561198998575618,OVR Toolkit,Utility / Software,178.0
76561198276972339,Counter-Strike 2,Shooter,784.8
76561198112590572,The Elder Scrolls V: Skyrim,Action / Adventure,543.4
76561198268826256,HELLDIVERS™ 2,Shooter,354.2
76561198053810130,The Elder Scrolls V: Skyrim,Action / Adventure,314.1
76561198835483491,Rocket League,Sports & Racing,748.2
76561199015348619,Terraria,Survival / Horror,194.2
76561197996471328,Black Desert,MMORPG,2489.9
76561198803402039,Terraria,Survival / Horror,391.3
76561198110389819,Wallpaper Engine,Utility / Software,1675.0
76561198022058877,Factorio,Simulation,253.9
76561198072289719,Dota 2,Strategy & MOBA,12520.7
76561199111066200,Crosshair X,Utility / Software,4074.7
76561199375788257,Counter-Strike 2,Shooter,244.1
76561198421392231,The Binding of Isaac: Rebirth,Roguelike,502.6
